Campo	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30
Sc	0.9070	0.9170	0.9270	0.9360	0.9450	0.9545	0.9640	0.9690	0.9740	0.9790	0.9840	0.9880	0.9920	0.9960	1.0000	1.0025	1.0050	1.0080	1.0110	1.0125	1.0140	1.0165	1.0190	1.0210	1.0230	1.0250	1.0270	1.0285	1.0300	1.0320	1.0340	1.0350	1.0360	1.0380	1.0400	1.0410	1.0420	1.0435	1.0450	1.0460	1.0470	1.0480	1.0490	1.0495	1.0500	1.0515	1.0530	1.0540	1.0550	1.0560	1.0570	1.0580	1.0590	1.0605	1.0620
Sp	0.9800	0.9820	0.9840	0.9860	0.9880	0.9890	0.9900	0.9915	0.9930	0.9940	0.9950	0.9965	0.9980	0.9990	1.0000	1.0010	1.0020	1.0030	1.0040	1.0055	1.0070	1.0080	1.0090	1.0100	1.0110	1.0115	1.0120	1.0125	1.0130	1.0135	1.0140	1.0145	1.0150	1.0155	1.0160	1.0165	1.0170	1.0170	1.0170	1.0175	1.0180	1.0185	1.0190	1.0195	1.0200	1.0200	1.0200	1.0205	1.0210	1.0215	1.0220	1.0225	1.0230	1.0230	1.0230
Prof.																																																							
0.0	0.1460	0.1540	0.1620	0.1700	0.1780	0.1915	0.2050	0.2130	0.2210	0.2285	0.2360	0.2425	0.2490	0.2555	0.2620	0.2685	0.2750	0.2810	0.2870	0.2945	0.3020	0.3100	0.3180	0.3255	0.3330	0.3385	0.3440	0.3495	0.3550	0.3605	0.3660	0.3715	0.3770	0.3825	0.3880	0.3929	0.3978	0.4027	0.4076	0.4125	0.4174	0.4223	0.4272	0.4321	0.4370	0.4411	0.4452	0.4493	0.4534	0.4575	0.4616	0.4657	0.4698	0.4739	0.4780
0.5	0.4875	0.4916	0.4958	0.4999	0.5040	0.5118	0.5195	0.5248	0.5300	0.5350	0.5400	0.5445	0.5490	0.5535	0.5580	0.5630	0.5680	0.5728	0.5775	0.5823	0.5870	0.5923	0.5975	0.6023	0.6070	0.6108	0.6145	0.6180	0.6215	0.6253	0.6290	0.6325	0.6360	0.6398	0.6435	0.6465	0.6494	0.6524	0.6553	0.6583	0.6612	0.6642	0.6671	0.6701	0.6730	0.6756	0.6781	0.6807	0.6832	0.6858	0.6883	0.6909	0.6934	0.6960	0.6985
1.0	0.8290	0.8293	0.8295	0.8298	0.8300	0.8320	0.8340	0.8365	0.8390	0.8415	0.8440	0.8465	0.8490	0.8515	0.8540	0.8575	0.8610	0.8645	0.8680	0.8700	0.8720	0.8745	0.8770	0.8790	0.8810	0.8830	0.8850	0.8865	0.8880	0.8900	0.8920	0.8935	0.8950	0.8970	0.8990	0.9000	0.9010	0.9020	0.9030	0.9040	0.9050	0.9060	0.9070	0.9080	0.9090	0.9100	0.9110	0.9120	0.9130	0.9140	0.9150	0.9160	0.9170	0.9180	0.9190
1.5	0.9380	0.9378	0.9375	0.9373	0.9370	0.9375	0.9380	0.9395	0.9410	0.9420	0.9430	0.9445	0.9460	0.9470	0.9480	0.9500	0.9520	0.9540	0.9560	0.9565	0.9570	0.9580	0.9590	0.9595	0.9600	0.9605	0.9610	0.9620	0.9630	0.9635	0.9640	0.9650	0.9660	0.9665	0.9670	0.9674	0.9678	0.9682	0.9686	0.9690	0.9694	0.9698	0.9702	0.9706	0.9710	0.9713	0.9716	0.9719	0.9722	0.9725	0.9728	0.9731	0.9734	0.9737	0.9740
2.0	0.9870	0.9868	0.9865	0.9863	0.9860	0.9865	0.9870	0.9875	0.9880	0.9880	0.9880	0.9885	0.9890	0.9890	0.9890	0.9900	0.9910	0.9915	0.9920	0.9920	0.9920	0.9925	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9930	0.9935	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9940	0.9942	0.9944	0.9946	0.9948	0.9950	0.9952	0.9954	0.9956	0.9958	0.9960
2.3	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
2.5	1.0050	1.0048	1.0045	1.0043	1.0040	1.0045	1.0050	1.0050	1.0050	1.0045	1.0040	1.0040	1.0040	1.0035	1.0030	1.0030	1.0030	1.0030	1.0030	1.0030	1.0030	1.0025	1.0020	1.0020	1.0020	1.0020	1.0020	1.0015	1.0010	1.0010	1.0010	1.0005	1.0000	1.0000	1.0000	1.0001	1.0002	1.0003	1.0004	1.0005	1.0006	1.0007	1.0008	1.0009	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010
3.0	1.0050	1.0053	1.0055	1.0058	1.0060	1.0060	1.0060	1.0060	1.0060	1.0055	1.0050	1.0045	1.0040	1.0035	1.0030	1.0030	1.0030	1.0025	1.0020	1.0020	1.0020	1.0015	1.0010	1.0010	1.0010	1.0005	1.0000	1.0000	1.0000	0.9995	0.9990	0.9990	0.9990	0.9985	0.9980	0.9980	0.9980	0.9980	0.9980	0.9980	0.9980	0.9980	0.9980	0.9980	0.9980	0.9981	0.9982	0.9983	0.9984	0.9985	0.9986	0.9987	0.9988	0.9989	0.9990
3.5	0.9970	0.9970	0.9970	0.9970	0.9970	0.9970	0.9970	0.9970	0.9970	0.9970	0.9970	0.9965	0.9960	0.9955	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9945	0.9940	0.9940	0.9940	0.9940	0.9940	0.9935	0.9930	0.9930	0.9930	0.9925	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920	0.9920
4.0	0.9880	0.9878	0.9875	0.9873	0.9870	0.9870	0.9870	0.9875	0.9880	0.9880	0.9880	0.9880	0.9880	0.9875	0.9870	0.9875	0.9880	0.9880	0.9880	0.9880	0.9880	0.9875	0.9870	0.9870	0.9870	0.9870	0.9870	0.9865	0.9860	0.9860	0.9860	0.9855	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850	0.9850
4.5	0.9730	0.9735	0.9740	0.9745	0.9750	0.9750	0.9750	0.9755	0.9760	0.9765	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9770	0.9765	0.9760	0.9760	0.9760	0.9755	0.9750	0.9750	0.9750	0.9751	0.9752	0.9753	0.9754	0.9755	0.9756	0.9757	0.9758	0.9759	0.9760	0.9761	0.9762	0.9763	0.9764	0.9765	0.9766	0.9767	0.9768	0.9769	0.9770
