Campo	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30	30.5	31	31.5	32	32.5	33	33.5	34	34.5	35	35.5	36	36.5	37	37.5	38	38.5	39	39.5	40
Sc	0.932	0.9425	0.953	0.9585	0.964	0.9695	0.975	0.9785	0.982	0.986	0.990	0.9925	0.995	0.9975	1.000	1.002	1.004	1.006	1.008	1.009	1.010	1.0115	1.013	1.0145	1.016	1.017	1.018	1.019	1.020	1.021	1.022	1.0235	1.025	1.026	1.027	1.028	1.029	1.029	1.0290	1.0295	1.0300	1.0310	1.0320	1.0325	1.0330	1.0340	1.0350	1.0360	1.0370	1.0375	1.0380	1.0390	1.0400	1.0405	1.0410	1.0418	1.0425	1.0433	1.0440	1.0445	1.0450	1.0455	1.0460	1.0465	1.0470	1.0470	1.0470	1.0473	1.0475	1.0478	1.0480	1.0480	1.0480	1.0480	1.0480
Sp	0.9770	0.9795	0.9820	0.9845	0.9870	0.9885	0.9900	0.9915	0.9930	0.994	0.9950	0.9965	0.9980	0.999	1.0000	1.001	1.0020	1.003	1.0040	1.005	1.0060	1.007	1.0080	1.009	1.0100	1.0105	1.0110	1.012	1.0130	1.0135	1.0140	1.0145	1.0150	1.0155	1.0160	1.0165	1.0170	1.0175	1.0180	1.0185	1.0190	1.0195	1.0200	1.0205	1.0210	1.0210	1.0210	1.0215	1.0220	1.0225	1.0230	1.0235	1.0240	1.0245	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250	1.0250
Prof.																																																																											
0.0	0.4590	0.4640	0.4690	0.4740	0.4790	0.4825	0.4860	0.4905	0.4950	0.4990	0.5030	0.5070	0.5110	0.5150	0.5190	0.5245	0.5300	0.5355	0.5410	0.5465	0.5520	0.5570	0.5620	0.5675	0.5730	0.5775	0.5820	0.5865	0.5910	0.5955	0.6000	0.6045	0.6090	0.6135	0.6180	0.6216	0.6252	0.6288	0.6324	0.6360	0.6396	0.6432	0.6468	0.6504	0.6540	0.6568	0.6596	0.6624	0.6652	0.6680	0.6708	0.6736	0.6764	0.6792	0.6820	0.6836	0.6852	0.6868	0.6884	0.6900	0.6916	0.6932	0.6948	0.6964	0.6980	0.6996	0.7012	0.7028	0.7044	0.7060	0.7076	0.7092	0.7108	0.7124	0.7140
0.5	0.7680	0.7703	0.7725	0.7748	0.7770	0.7780	0.7790	0.7810	0.7830	0.7850	0.7870	0.7890	0.7910	0.7930	0.7950	0.7975	0.8000	0.8025	0.8050	0.8075	0.8100	0.8120	0.8140	0.8165	0.8190	0.8210	0.8230	0.8250	0.8270	0.8295	0.8320	0.8340	0.8360	0.8380	0.8400	0.8417	0.8434	0.8451	0.8468	0.8485	0.8502	0.8519	0.8536	0.8553	0.8570	0.8583	0.8596	0.8609	0.8622	0.8635	0.8648	0.8661	0.8674	0.8687	0.8700	0.8706	0.8712	0.8718	0.8724	0.8730	0.8736	0.8742	0.8748	0.8754	0.8760	0.8766	0.8772	0.8778	0.8784	0.8790	0.8796	0.8802	0.8808	0.8814	0.8820
1.0	0.9740	0.9740	0.9740	0.9740	0.9740	0.9740	0.9740	0.9745	0.9750	0.9755	0.9760	0.9765	0.9770	0.9770	0.9770	0.9775	0.9780	0.9785	0.9790	0.9795	0.9800	0.9800	0.9800	0.9805	0.9810	0.9815	0.9820	0.9820	0.9820	0.9825	0.9830	0.9830	0.9830	0.9835	0.9840	0.9844	0.9848	0.9852	0.9856	0.9860	0.9864	0.9868	0.9872	0.9876	0.9880	0.9882	0.9884	0.9886	0.9888	0.9890	0.9892	0.9894	0.9896	0.9898	0.9900	0.9900	0.9900	0.9900	0.9900	0.9900	0.9900	0.9900	0.9900	0.9900	0.9900	0.9901	0.9902	0.9903	0.9904	0.9905	0.9906	0.9907	0.9908	0.9909	0.9910
1.4	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1.5	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0010	1.0005	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0001	1.0002	1.0003	1.0004	1.0005	1.0006	1.0007	1.0008	1.0009	1.0010
2.0	0.9940	0.9945	0.9950	0.9955	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9960	0.9955	0.9950	0.9950	0.9950	0.9945	0.9940	0.9940	0.9940	0.9941	0.9942	0.9943	0.9944	0.9945	0.9946	0.9947	0.9948	0.9949	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9950	0.9951	0.9952	0.9953	0.9954	0.9955	0.9956	0.9957	0.9958	0.9959	0.9960
